#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy
-,India,1210854977.0,17.64,3287240.0,382.0,940.0,74.04
1,Uttar Pradesh,199812341.0,20.23,240928.0,829.0,912.0,67.68
2,Maharashtra,112374333.0,15.99,307713.0,365.0,929.0,82.34
3,Bihar,104099452.0,25.42,94163.0,1106.0,918.0,61.8
4,West Bengal,91276115.0,13.84,88752.0,1028.0,950.0,76.26
5,Andhra Pradesh,84580777.0,10.98,275045.0,308.0,993.0,67.02
6,Madhya Pradesh,72626809.0,20.35,308252.0,236.0,931.0,69.32
7,Tamil Nadu,72147030.0,15.61,130060.0,555.0,996.0,80.09
8,Rajasthan,68548437.0,21.31,342239.0,200.0,928.0,66.11
9,Karnataka,61095297.0,15.6,191791.0,319.0,973.0,75.36
10,Gujarat,60439692.0,19.28,196244.0,308.0,919.0,78.03
11,Orissa,41974218.0,14.05,155707.0,270.0,979.0,72.87
12,Kerala,33406061.0,4.91,38852.0,860.0,1084.0,94.0
13,Jharkhand,32988134.0,22.42,79716.0,414.0,948.0,66.41
14,Assam,31205576.0,17.07,78438.0,398.0,958.0,72.19
15,Punjab,27743338.0,13.89,50362.0,551.0,895.0,75.84
16,Chhattisgarh,25545198.0,22.61,135192.0,189.0,991.0,70.28
17,Haryana,25351462.0,19.9,44212.0,573.0,879.0,75.55
18,Delhi,16787941.0,21.21,1483.0,11320.0,868.0,86.21
19,Jammu and Kashmir,12541302.0,23.64,222236.0,56.0,889.0,67.16
20,Uttarakhand,10086292.0,18.81,53483.0,189.0,963.0,78.82
21,Himachal Pradesh,6864602.0,12.94,55673.0,123.0,972.0,82.8
22,Tripura,3673917.0,14.84,10486.0,350.0,960.0,87.22
23,Meghalaya,2966889.0,27.95,22429.0,132.0,989.0,74.43
24,Manipur,2855794.0,24.5,22327.0,128.0,985.0,76.94
25,Nagaland,1978502.0,-0.58,16579.0,119.0,931.0,79.55
26,Goa,1458545.0,8.23,3702.0,394.0,973.0,88.7
27,Arunachal Pradesh,1383727.0,26.03,83743.0,17.0,938.0,65.38
28,Puducherry,1247953.0,28.08,490.0,2547.0,1037.0,85.85
29,Mizoram,1097206.0,23.48,21081.0,52.0,976.0,91.33
30,Chandigarh,1055450.0,17.19,114.0,9258.0,818.0,86.05
31,Sikkim,610577.0,12.89,7096.0,86.0,890.0,81.42
32,Andaman and Nicobar Islands,380581.0,6.86,8249.0,46.0,876.0,86.63
33,Dadra and Nagar Haveli,343709.0,55.88,491.0,700.0,774.0,76.24
34,Daman and Diu,243247.0,53.76,111.0,2191.0,618.0,87.1
35,Lakshadweep,64473.0,6.3,30.0,2149.0,946.0,91.85
