#,State,Population,Increase,Area(Km2),Density,Sex-Ratio,Literacy,Region,Increase_percent,Change in Population,Literacy_Percent,Literate Population,Total Regional Area,Number of Girls,Total Regional Girls_x,Regional Sex Ratio_x,Total Regional Girls_y,Total Regional Girls_x,Regional Sex Ratio_y,Total Regional Population_x,Total Regional Change in Population_x,Total Regional Literate Population_x,Regional Density,Regional PopGrowth Percent,Regional Literacy Level,Total Regional Girls_y,Total Regional Girls,Total Regional Population_y,Total Regional Change in Population_y,Total Regional Literate Population_y,Total Regional Population,Total Regional Change in Population,Total Regional Literate Population,Total Regional Men,Regional Sex Ratio
1,Uttar Pradesh,199812341.0,20.23,240928.0,829.0,912.0,67.68,North,0.2023,40422036.584300004,0.6768000000000001,1352329.9238880002,1413145.0,95307978.55230126,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
3,Bihar,104099452.0,25.42,94163.0,1106.0,918.0,61.8,North,0.25420000000000004,26462080.698400006,0.618,643334.61336,1413145.0,49824450.95724714,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
6,Madhya Pradesh,72626809.0,20.35,308252.0,236.0,931.0,69.32,North,0.20350000000000001,14779555.6315,0.6931999999999999,503449.03998799995,1413145.0,35015825.5717245,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
8,Rajasthan,68548437.0,21.31,342239.0,200.0,928.0,66.11,North,0.21309999999999998,14607671.9247,0.6611,453173.717007,1413145.0,32994268.43153527,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
15,Punjab,27743338.0,13.89,50362.0,551.0,895.0,75.84,North,0.1389,3853549.6481999997,0.7584000000000001,210405.47539200002,1413145.0,13103054.094986808,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
17,Haryana,25351462.0,19.9,44212.0,573.0,879.0,75.55,North,0.19899999999999998,5044940.937999999,0.7555,191530.29541,1413145.0,11859465.193187866,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
18,Delhi,16787941.0,21.21,1483.0,11320.0,868.0,86.21,North,0.2121,3560722.2861,0.8621,144728.839361,1413145.0,7800820.550321199,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
19,Jammu and Kashmir,12541302.0,23.64,222236.0,56.0,889.0,67.16,North,0.2364,2964763.7928,0.6716,84227.384232,1413145.0,5902179.713075701,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
20,Uttarakhand,10086292.0,18.81,53483.0,189.0,963.0,78.82,North,0.1881,1897231.5251999998,0.7881999999999999,79500.15354399999,1413145.0,4948089.249108507,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
21,Himachal Pradesh,6864602.0,12.94,55673.0,123.0,972.0,82.8,North,0.1294,888279.4988,0.828,56838.90456,1413145.0,3383566.5030425964,260614593.26097527,-1235.0108982684235,260614593.26097527,260614593.26097527,-1235.0108982684235,545517426.0,114662264.383,3728600.493992,386.0307512675628,21.01899204646123,0.6834979629032052,260614593.26097527,260614593.26097527,545517426.0,114662264.383,3728600.493992,545517426.0,114662264.383,3728600.493992,284902832.73902476,914.7490418240317
